State	1995_Deaths	1995_Births	1995_IMR	1996_Deaths	1996_Births	1996_IMR	1997_Deaths	1997_Births	1997_IMR	1998_Deaths	1998_Births	1998_IMR	1999_Deaths	1999_Births	1999_IMR	2000_Deaths	2000_Births	2000_IMR	2001_Deaths	2001_Births	2001_IMR	2002_Deaths	2002_Births	2002_IMR	2003_Deaths	2003_Births	2003_IMR	2004_Deaths	2004_Births	2004_IMR	2005_Deaths	2005_Births	2005_IMR	2006_Deaths	2006_Births	2006_IMR	2007_Deaths	2007_Births	2007_IMR	2008_Deaths	2008_Births	2008_IMR	2009_Deaths	2009_Births	2009_IMR	2010_Deaths	2010_Births	2010_IMR	2011_Deaths	2011_Births	2011_IMR	2012_Deaths	2012_Births	2012_IMR	2013_Deaths	2013_Births	2013_IMR	2014_Deaths	2014_Births	2014_IMR
South Dakota	96	10,475	9.16	60	10,473	5.73	75	10,173	7.37	95	10,288	9.23	93	10524	8.836944128	54	10,345	5.22	76	10,483	7.25	72	10,698	6.73	73	11,027	7	90	11,338	7.94	80.00	11,462.00	6.98	82	11,919	6.88	77	12,261	6.28	100.00	12,072.00	8.28	80.00	11,934.00	6.70	84.00	11,811.00	7.11	72.00	11,846.00	6.08	101.00	12,104.00	8.34	79	12,248	6.45	72	12,283	5.861760156
Tennessee	670	73,173	9.16	627	73,754	8.50	640	74,478	8.59	633	77,396	8.18	603	77803	7.750343817	725	79,611	9.11	682	78,340	8.71	721	77,482	9.31	728	78,890	9	686	79,642	8.61	717.00	81,748.00	8.77	730	84,355	8.65	720	86,711	8.30	698.00	85,560.00	8.16	657.00	82,211.00	7.99	626.00	79,495.00	7.87	592.00	79,588.00	7.44	582.00	80,371.00	7.24	544	79,992	6.80	564	81,602	6.911595304
Texas	2,103	322,753	6.52	2,063	330,406	6.24	2,129	333,974	6.37	2,179	342,283	6.37	2143	349245	6.136093573	2,036	363,426	5.60	2,146	365,437	5.87	2,353	372,463	6.32	2,466	377,495	7	2,393	381,293	6.28	2,526.00	385,920.00	6.55	2,474	399,613	6.19	2,567	407,625	6.30	2,501.00	405,554.00	6.17	2,403.00	401,977.00	5.98	2,373.00	386,118.00	6.15	2,135.00	377,445.00	5.66	2,231.00	382,727.00	5.83	2,255	387,340	5.82	2,337	399,766	5.845919863
Utah	214	39,577	5.41	257	42,087	6.11	250	43,059	5.81	257	45,165	5.69	225	46290	4.86066105	252	47,353	5.32	235	47,960	4.90	273	49,183	5.55	250	49,860	5	265	50,670	5.23	233.00	51,556.00	4.52	274	53,504	5.12	277	55,130	5.02	261.00	55,634.00	4.69	284.00	53,887.00	5.27	254.00	52,258.00	4.86	281.00	51,223.00	5.49	248.00	51,465.00	4.82	264	50,957	5.18	251	51,154	4.90675216
Vermont	38	6,783	5.60	47	6,767	6.95	41	6,607	6.21	45	6,582	6.84	36	6567	5.481955231	42	6,500	6.46	36	6,366	5.66	28	6,387	4.38	34	6,589	5	29	6,599	4.39	42.00	6,473.00	6.49	37	6,511	5.68	33	6,513	5.07	29.00	6,339.00	4.57	38.00	6,110.00	6.22	26.00	6,223.00	4.18	30.00	6,078.00	4.94	26.00	6,009.00	4.33	26	5,975	4.35	28	6,130	4.567699837
Virginia	725	92,578	7.83	707	92,354	7.66	710	91,862	7.73	719	94,351	7.62	681	95469	7.133205543	684	98,939	6.91	735	98,884	7.43	737	99,672	7.39	778	101,254	8	764	103,933	7.35	781.00	104,555.00	7.47	765	107,817	7.10	842	108,884	7.73	734.00	106,686.00	6.88	750.00	105,059.00	7.14	703.00	103,002.00	6.83	697.00	102,652.00	6.79	668.00	103,013.00	6.48	631	102,147	6.18	595	103,300	5.759922556
Washington	447	77,228	5.79	462	77,945	5.93	434	78,190	5.55	456	79,663	5.72	395	79586	4.96318448	421	81,038	5.20	453	79,574	5.69	455	79,031	5.76	450	80,489	6	450	81,747	5.50	419.00	82,703.00	5.07	408	86,876	4.70	434	88,978	4.88	492.00	90,321.00	5.45	439.00	89,313.00	4.92	388.00	86,539.00	4.48	396.00	86,976.00	4.55	460.00	87,463.00	5.26	392	86,577	4.53	402	88,585	4.538014337
West Virginia	167	21,162	7.89	150	20,750	7.23	199	20,730	9.60	166	20,747	8.00	154	20728	7.429563875	154	20,865	7.38	150	20,428	7.34	185	20,712	8.93	156	20,935	7	158	20,880	7.57	170.00	20,836.00	8.16	148	20,931	7.07	160	21,994	7.27	167.00	21,501.00	7.77	163.00	21,268.00	7.66	150.00	20,470.00	7.33	136.00	20,717.00	6.56	149.00	20,827.00	7.15	159	20,825	7.64	143	20,301	7.043987981
Wisconsin	490	67,479	7.26	488	67,106	7.27	436	66,557	6.55	489	67,450	7.25	455	68208	6.670771757	460	69,326	6.64	492	69,072	7.12	468	68,560	6.83	458	70,040	7	417	70,146	5.94	464.00	70,984.00	6.54	461	72,340	6.37	467	72,784	6.42	500.00	72,261.00	6.92	424.00	70,843.00	5.99	400.00	68,487.00	5.84	423.00	67,810.00	6.24	382.00	67,295.00	5.68	417	66,649	6.26	381	67,161	5.672935186
Wyoming	49	6,261	7.83	41	6,286	6.52	38	6,387	5.95	46	6,252	7.36	42	6129	6.852667646	42	6,253	6.72	37	6,115	6.05	44	6,550	6.72	36	6,700	5	60	6,807	8.81	48.00	7,239.00	6.63	52	7,672	6.78	58	7,893	7.35	56.00	8,038.00	6.97	47.00	7,881.00	5.96	52.00	7,556.00	6.88	49.00	7,399.00	6.62	42.00	7,572.00	5.55	37	7,644	4.84	49	7,696	6.366943867
United States	29502	3,899,589	7.57	28415	3,891,494	7.30	27,965	3,880,894	7.21	28324	3,941,553	7.19	27863	3959417	7.037147136	27962	4,058,882	6.89	27522	4,026,036	6.84	27968	4,021,825	6.95	27992	4,090,007	7	27,858	4,112,055	6.77	28,382.00	4,138,573.00	6.86	28507	4,265,593	6.68	29152	4,316,233	6.75	28,072.00	4,247,726.00	6.61	26,408.00	4,130,665.00	6.39	24,571.00	3,999,386.00	6.14	23,999.00	3,953,590.00	6.07	23,651.00	3,952,841.00	5.98	23444	3,932,181	5.96	23215	3988076	5.821102707
