State	1995_Deaths	1995_Births	1996_Deaths	1996_Births	1997_Deaths	1997_Births	1998_Deaths	1998_Births	1999_Deaths	1999_Births	2000_Deaths	2000_Births	2001_Deaths	2001_Births	2002_Deaths	2002_Births	2003_Deaths	2003_Births	2004_Deaths	2004_Births	2005_Deaths	2005_Births	2006_Deaths	2006_Births	2007_Deaths	2007_Births	2008_Deaths	2008_Births	2009_Deaths	2009_Births	2010_Deaths	2010_Births	2011_Deaths	2011_Births	2012_Deaths	2012_Births	2013_Deaths	2013_Births
North Carolina	935	101,592	951	104,470	989	107,015	1,036	111,688	1035	113795	1,035	120,311	1,012	118,186	955	117,335	968	118,323	1,046	119,847	1,085	123,096	1,035	127,859	1,117	131,037	1,079	130,839	1,004	126,845	867	122,350	867	120,389	886	119,831	832	119,002
North Dakota	60	8,476	45	8,347	53	8,353	70	7,932	52	7639	64	7,676	68	7,629	49	7,757	58	7,972	48	8,189	50	8,390	51	8,621	67	8,840	52	8,938	57	9,001	62	9,104	62	9,527	64	10,106	64	10,599
Ohio	1,336	154,064	1,170	151,692	1,185	152,033	1,212	152,794	1241	152584	1,191	155,484	1,159	151,594	1,181	148,743	1,162	149,691	1,120	148,955	1,213	148,388	1,168	150,599	1,172	150,879	1,146	148,821	1,116	144,841	1,074	139,128	1,102	137,918	1,034	138,483	1,019	138,936
Oklahoma	380	45,672	388	46,193	364	48,269	419	49,461	420	49010	418	49,785	369	50,120	415	50,391	392	50,988	407	51,306	412	51,801	430	54,019	463	55,065	394	54,781	431	54,553	399	53,238	380	52,272	397	52,751	359	53,369
Oregon	262	42,811	237	43,658	251	43,809	244	45,273	258	45204	255	45,804	243	45,322	258	45,192	257	45,953	250	45,678	275	45,922	262	48,691	282	49,378	252	49,096	229	47,132	226	45,540	206	45,155	241	45,067	223	45,155
Pennsylvania	1,179	151,850	1,160	148,338	1,101	144,224	1,041	145,899	1067	145347	1,039	146,284	1,035	143,497	1,088	142,869	1,071	145,960	1,050	144,748	1,060	145,399	1,141	149,094	1,135	150,713	1,101	149,273	1,040	146,434	1,036	143,321	929	143,178	1,005	142,514	937	140,921
Rhode Island	91	12,776	66	12,652	88	12,455	91	12,599	71	12366	78	12,505	87	12,713	91	12,894	89	13,209	69	12,779	82	12,697	77	12,373	90	12,376	71	12,048	67	11,442	80	11,177	70	10,960	71	10,926	70	10,809
South Carolina	488	50,926	431	51,117	502	52,214	514	53,877	562	54948	492	56,114	502	55,756	508	54,570	464	55,649	525	56,590	546	57,711	517	62,173	535	62,875	508	63,071	423	60,620	428	58,342	420	57,393	428	57,155	390	56,795
South Dakota	96	10,475	60	10,473	75	10,173	95	10,288	93	10524	54	10,345	76	10,483	72	10,698	73	11,027	90	11,338	80	11,462	82	11,919	77	12,261	100	12,072	80	11,934	84	11,811	72	11,846	101	12,104	79	12,248
Tennessee	670	73,173	627	73,754	640	74,478	633	77,396	603	77803	725	79,611	682	78,340	721	77,482	728	78,890	686	79,642	717	81,748	730	84,355	720	86,711	698	85,560	657	82,211	626	79,495	592	79,588	582	80,371	544	79,992
Texas	2,103	322,753	2,063	330,406	2,129	333,974	2,179	342,283	2143	349245	2,036	363,426	2,146	365,437	2,353	372,463	2,466	377,495	2,393	381,293	2,526	385,920	2,474	399,613	2,567	407,625	2,501	405,554	2,403	401,977	2,373	386,118	2,135	377,445	2,231	382,727	2,255	387,340
Utah	214	39,577	257	42,087	250	43,059	257	45,165	225	46290	252	47,353	235	47,960	273	49,183	250	49,860	265	50,670	233	51,556	274	53,504	277	55,130	261	55,634	284	53,887	254	52,258	281	51,223	248	51,465	264	50,957
Vermont	38	6,783	47	6,767	41	6,607	45	6,582	36	6567	42	6,500	36	6,366	28	6,387	34	6,589	29	6,599	42	6,473	37	6,511	33	6,513	29	6,339	38	6,110	26	6,223	30	6,078	26	6,009	26	5,975
Virginia	725	92,578	707	92,354	710	91,862	719	94,351	681	95469	684	98,939	735	98,884	737	99,672	778	101,254	764	103,933	781	104,555	765	107,817	842	108,884	734	106,686	750	105,059	703	103,002	697	102,652	668	103,013	631	102,147
Washington	447	77,228	462	77,945	434	78,190	456	79,663	395	79586	421	81,038	453	79,574	455	79,031	450	80,489	450	81,747	419	82,703	408	86,876	434	88,978	492	90,321	439	89,313	388	86,539	396	86,976	460	87,463	392	86,577
West Virginia	167	21,162	150	20,750	199	20,730	166	20,747	154	20728	154	20,865	150	20,428	185	20,712	156	20,935	158	20,880	170	20,836	148	20,931	160	21,994	167	21,501	163	21,268	150	20,470	136	20,717	149	20,827	159	20,825
Wisconsin	490	67,479	488	67,106	436	66,557	489	67,450	455	68208	460	69,326	492	69,072	468	68,560	458	70,040	417	70,146	464	70,984	461	72,340	467	72,784	500	72,261	424	70,843	400	68,487	423	67,810	382	67,295	417	66,649
Wyoming	49	6,261	41	6,286	38	6,387	46	6,252	42	6129	42	6,253	37	6,115	44	6,550	36	6,700	60	6,807	48	7,239	52	7,672	58	7,893	56	8,038	47	7,881	52	7,556	49	7,399	42	7,572	37	7,644
